batch_id,unique_authors,total_contribution,avg_contribution,max_contribution,avg_effort,importance,total_churn,total_files,start_ts,end_ts,commit_count,start_date,end_date,duration_hours
60,1,0.0,0.0,0.0,0.2183,-0.6285,2.0,1,1754043217,1754043217,1,2025-08-01,2025-08-01,0.0
59,1,0.0,0.0,0.0,0.3001,-0.3308,12.0,1,1754070856,1754070856,1,2025-08-01,2025-08-01,0.0
65,1,0.0,0.0,0.0,0.3985,-0.0109,75.0,2,1753354170,1753354170,1,2025-07-24,2025-07-24,0.0
90,1,0.0,0.0,0.0,0.1957,-0.8586,1.0,1,1749762689,1749762689,1,2025-06-12,2025-06-12,0.0
89,1,0.0,0.0,0.0,0.1957,-0.8586,1.0,1,1754176554,1754176554,1,2025-08-02,2025-08-02,0.0
92,1,0.0,0.0,0.0,0.273,-0.5594,7.0,1,1753949438,1753949438,1,2025-07-31,2025-07-31,0.0
94,1,0.0,0.0,0.0,0.2796,-0.5364,8.0,1,1754032738,1754032738,1,2025-08-01,2025-08-01,0.0
93,1,0.0,0.0,0.0,0.2183,-0.7634,2.0,1,1753713979,1753713979,1,2025-07-28,2025-07-28,0.0
97,1,0.0,0.0,0.0,0.3042,-0.4517,13.0,1,1754232587,1754232587,1,2025-08-03,2025-08-03,0.0
96,1,0.0,0.0,0.0,0.2183,-0.7634,2.0,1,1754232587,1754232587,1,2025-08-03,2025-08-03,0.0
98,1,0.0,0.0,0.0,0.3212,-0.1923,18.0,1,1754232587,1754232587,1,2025-08-03,2025-08-03,0.0
99,1,0.0,0.0,0.0,0.2183,-0.7634,2.0,1,1754232587,1754232587,1,2025-08-03,2025-08-03,0.0
100,1,0.0,0.0,0.0,0.273,-0.5594,7.0,1,1754232587,1754232587,1,2025-08-03,2025-08-03,0.0
88,1,0.0,0.0,0.0,0.2344,-0.5659,3.0,1,1753904282,1753904282,1,2025-07-30,2025-07-30,0.0
102,1,0.0,0.0,0.0,0.2796,-0.5364,8.0,1,1753962330,1753962330,1,2025-07-31,2025-07-31,0.0
103,1,0.0,0.0,0.0,0.3939,-0.0252,69.0,2,1751851618,1751851618,1,2025-07-07,2025-07-07,0.0
105,1,0.0,0.0,0.0,0.2796,-0.1317,8.0,3,1753117251,1753117251,1,2025-07-21,2025-07-21,0.0
104,1,0.0,0.0,0.0,0.3654,-0.1156,41.0,2,1751851617,1751851617,1,2025-07-07,2025-07-07,0.0
106,1,0.0,0.0,0.0,0.3294,-0.3676,21.0,1,1752160835,1752160835,1,2025-07-10,2025-07-10,0.0
107,1,0.0,0.0,0.0,0.3182,-0.4047,17.0,1,1752160834,1752160834,1,2025-07-10,2025-07-10,0.0
108,1,0.0,0.0,0.0,0.3182,-0.4047,17.0,1,1752160833,1752160833,1,2025-07-10,2025-07-10,0.0
110,1,0.0,0.0,0.0,0.3294,-0.3676,21.0,1,1752160829,1752160829,1,2025-07-10,2025-07-10,0.0
111,1,0.0,0.0,0.0,0.3182,-0.4047,17.0,1,1752160828,1752160828,1,2025-07-10,2025-07-10,0.0
112,1,0.0,0.0,0.0,0.3182,-0.4047,17.0,1,1752160827,1752160827,1,2025-07-10,2025-07-10,0.0
113,1,0.0,0.0,0.0,0.2183,-0.6285,2.0,1,1752160826,1752160826,1,2025-07-10,2025-07-10,0.0
114,1,0.0,0.0,0.0,0.2468,-0.3842,4.0,2,1752160824,1752160825,2,2025-07-10,2025-07-10,0.0
115,1,0.0,0.0,0.0,0.2183,-0.6285,2.0,1,1752160823,1752160823,1,2025-07-10,2025-07-10,0.0
116,1,0.0,0.0,0.0,0.2183,-0.6285,2.0,1,1752160822,1752160822,1,2025-07-10,2025-07-10,0.0
117,1,0.0,0.0,0.0,0.2183,-0.6285,2.0,1,1752160821,1752160821,1,2025-07-10,2025-07-10,0.0
118,1,0.0,0.0,0.0,0.2183,-0.5611,2.0,1,1754163277,1754163277,1,2025-08-02,2025-08-02,0.0
