repo,total_merged_prs,passed_first_try,pass_rate
juliangarnier/anime,0,0,0.0
socketio/socket.io,0,0,0.0
bradtraversy/design-resources-for-developers,0,0,0.0
jesseduffield/lazygit,0,0,0.0
labmlai/annotated_deep_learning_paper_implementations,0,0,0.0
sindresorhus/awesome-nodejs,0,0,0.0
prakhar1989/awesome-courses,0,0,0.0
reduxjs/redux,0,0,0.0
punkpeye/awesome-mcp-servers,0,0,0.0
astral-sh/uv,0,0,0.0
lodash/lodash,0,0,0.0
facebook/docusaurus,0,0,0.0
atom/atom,0,0,0.0
h5bp/Front-end-Developer-Interview-Questions,0,0,0.0
xingshaocheng/architect-awesome,0,0,0.0
All-Hands-AI/OpenHands,0,0,0.0
microsoft/markitdown,0,0,0.0
adam-p/markdown-here,0,0,0.0
OpenInterpreter/open-interpreter,0,0,0.0
localstack/localstack,0,0,0.0
infiniflow/ragflow,0,0,0.0
jquery/jquery,0,0,0.0
alacritty/alacritty,0,0,0.0
prometheus/prometheus,0,0,0.0
dair-ai/Prompt-Engineering-Guide,0,0,0.0
rust-lang/rustlings,0,0,0.0
modelcontextprotocol/servers,0,0,0.0
shadowsocks/shadowsocks-windows,0,0,0.0
angular/angular.js,0,0,0.0
rasbt/LLMs-from-scratch,0,0,0.0
ryanoasis/nerd-fonts,0,0,0.0
meta-llama/llama,0,0,0.0
NationalSecurityAgency/ghidra,0,0,0.0
spring-projects/spring-framework,0,0,0.0
FuelLabs/fuel-core,0,0,0.0
nuxt/nuxt,0,0,0.0
scrapy/scrapy,0,0,0.0
google-gemini/gemini-cli,0,0,0.0
mlabonne/llm-course,0,0,0.0
youngyangyang04/leetcode-master,0,0,0.0
FoundationAgents/MetaGPT,0,0,0.0
rails/rails,0,0,0.0
h5bp/html5-boilerplate,0,0,0.0
Solido/awesome-flutter,0,0,0.0
tldr-pages/tldr,0,0,0.0
scutan90/DeepLearning-500-questions,0,0,0.0
zylon-ai/private-gpt,0,0,0.0
gatsbyjs/gatsby,0,0,0.0
soimort/you-get,0,0,0.0
jgraph/drawio-desktop,0,0,0.0
nocodb/nocodb,0,0,0.0
PlexPt/awesome-chatgpt-prompts-zh,0,0,0.0
git/git,0,0,0.0
traefik/traefik,0,0,0.0
azl397985856/leetcode,0,0,0.0
remix-run/react-router,0,0,0.0
commaai/openpilot,0,0,0.0
ageitgey/face_recognition,0,0,0.0
gorhill/uBlock,0,0,0.0
CorentinJ/Real-Time-Voice-Cloning,0,0,0.0
ultralytics/yolov5,0,0,0.0
AntonOsika/gpt-engineer,0,0,0.0
topjohnwu/Magisk,0,0,0.0
ElemeFE/element,0,0,0.0
deepfakes/faceswap,0,0,0.0
FiloSottile/mkcert,0,0,0.0
hiyouga/LLaMA-Factory,0,0,0.0
lencx/ChatGPT,0,0,0.0
minio/minio,0,0,0.0
BurntSushi/ripgrep,0,0,0.0
pmndrs/zustand,0,0,0.0
sharkdp/bat,0,0,0.0
necolas/normalize.css,0,0,0.0
golang-standards/project-layout,0,0,0.0
psf/requests,0,0,0.0
toeverything/AFFiNE,0,0,0.0
wasabeef/awesome-android-ui,0,0,0.0
Z4nzu/hackingtool,0,0,0.0
Textualize/rich,0,0,0.0
pi-hole/pi-hole,0,0,0.0
meilisearch/meilisearch,0,0,0.0
withastro/astro,0,0,0.0
vllm-project/vllm,0,0,0.0
ionic-team/ionic-framework,0,0,0.0
google/material-design-icons,0,0,0.0
appwrite/appwrite,0,0,0.0
tiimgreen/github-cheat-sheet,0,0,0.0
rclone/rclone,0,0,0.0
PaddlePaddle/PaddleOCR,0,0,0.0
rust-unofficial/awesome-rust,0,0,0.0
wagoodman/dive,0,0,0.0
mozilla/pdf.js,0,0,0.0
Semantic-Org/Semantic-UI,0,0,0.0
FFmpeg/FFmpeg,0,0,0.0
google/guava,0,0,0.0
JetBrains/kotlin,0,0,0.0
sickcodes/Docker-OSX,0,0,0.0
facebookresearch/segment-anything,0,0,0.0
vuejs/core,0,0,0.0
prettier/prettier,0,0,0.0
ngosang/trackerslist,0,0,0.0
marktext/marktext,0,0,0.0
xai-org/grok-1,0,0,0.0
jekyll/jekyll,0,0,0.0
laurent22/joplin,0,0,0.0
romkatv/powerlevel10k,0,0,0.0
DefinitelyTyped/DefinitelyTyped,0,0,0.0
starship/starship,0,0,0.0
jgthms/bulma,0,0,0.0
etcd-io/etcd,0,0,0.0
TryGhost/Ghost,0,0,0.0
chinese-poetry/chinese-poetry,0,0,0.0
WerWolv/ImHex,0,0,0.0
Shubhamsaboo/awesome-llm-apps,0,0,0.0
go-gitea/gitea,0,0,0.0
vsouza/awesome-ios,0,0,0.0
firstcontributions/first-contributions,0,0,0.0
ethereum/go-ethereum,0,0,0.0
poteto/hiring-without-whiteboards,0,0,0.0
pocketbase/pocketbase,0,0,0.0
cypress-io/cypress,0,0,0.0
RVC-Boss/GPT-SoVITS,0,0,0.0
AlistGo/alist,0,0,0.0
mastodon/mastodon,0,0,0.0
NARKOZ/hacker-scripts,0,0,0.0
agalwood/Motrix,0,0,0.0
ReactiveX/RxJava,0,0,0.0
moment/moment,0,0,0.0
justjavac/awesome-wechat-weapp,0,0,0.0
iamkun/dayjs,0,0,0.0
PowerShell/PowerShell,0,0,0.0
FoundationAgents/OpenManus,0,0,0.0
charlax/professional-programming,0,0,0.0
unclecode/crawl4ai,0,0,0.0
Avik-Jain/100-Days-Of-ML-Code,0,0,0.0
algorithm-visualizer/algorithm-visualizer,0,0,0.0
Asabeneh/30-Days-Of-Python,0,0,0.0
cline/cline,0,0,0.0
JuliaLang/julia,0,0,0.0
minimaxir/big-list-of-naughty-strings,0,0,0.0
microsoft/autogen,0,0,0.0
serverless/serverless,0,0,0.0
huginn/huginn,0,0,0.0
dani-garcia/vaultwarden,0,0,0.0
kamranahmedse/design-patterns-for-humans,0,0,0.0
