batch_id,unique_authors,total_contribution,avg_contribution,max_contribution,avg_effort,importance,total_churn,total_files,start_ts,end_ts,commit_count,start_date,end_date,duration_hours
97,2,0.1128,0.0564,0.057,0.6888,0.0819,904.0,21,1747245587,1747260699,2,2025-05-14,2025-05-14,4.2
94,5,0.1111,0.0185,0.0487,0.2346,-0.1918,496.0,12,1747359247,1747387108,6,2025-05-16,2025-05-16,7.74
32,4,0.1067,0.0267,0.08,0.1991,-0.5581,214.0,6,1752241704,1752477231,4,2025-07-11,2025-07-14,65.42
157,4,0.0783,0.0196,0.0246,0.3567,0.0549,1241.0,17,1743794447,1743854219,4,2025-04-04,2025-04-05,16.6
10,3,0.0743,0.0248,0.0743,0.2838,-0.6865,94.0,5,1753979361,1753986304,3,2025-07-31,2025-07-31,1.93
42,4,0.0649,0.0162,0.041,0.2558,-0.4838,341.0,6,1751396277,1751435546,4,2025-07-01,2025-07-02,10.91
15,6,0.0618,0.0088,0.0175,0.153,0.0438,562.0,28,1753647169,1753747250,7,2025-07-27,2025-07-29,27.8
2,4,0.0588,0.0147,0.0588,0.2046,-0.3213,391.0,6,1754429229,1754519568,4,2025-08-05,2025-08-06,25.09
188,4,0.0553,0.0138,0.0446,0.2213,-0.4151,246.0,6,1741704487,1741725338,4,2025-03-11,2025-03-11,5.79
144,1,0.0543,0.0543,0.0543,0.8557,0.0634,817.0,56,1744632284,1744632284,1,2025-04-14,2025-04-14,0.0
109,3,0.0515,0.0172,0.0515,0.3157,-0.4741,104.0,6,1746476630,1746521905,3,2025-05-05,2025-05-06,12.58
34,3,0.0463,0.0154,0.0463,0.2764,-0.6953,94.0,4,1752114366,1752134779,3,2025-07-10,2025-07-10,5.67
9,4,0.0444,0.0111,0.018,0.3332,0.0333,719.0,20,1753996064,1754210418,4,2025-07-31,2025-08-03,59.54
71,3,0.0376,0.0125,0.0376,0.332,-0.4137,331.0,7,1748839616,1748858150,3,2025-06-02,2025-06-02,5.15
113,4,0.0367,0.0092,0.0367,0.1956,-0.4618,117.0,8,1746252498,1746292340,4,2025-05-03,2025-05-03,11.07
120,5,0.0362,0.006,0.024,0.1883,-0.1108,473.0,15,1745862110,1745952722,6,2025-04-28,2025-04-29,25.17
194,1,0.0308,0.0308,0.0308,0.8977,0.0343,1477.0,16,1741189751,1741189751,1,2025-03-05,2025-03-05,0.0
192,6,0.0287,0.0048,0.0189,0.1219,-0.0746,575.0,14,1741284221,1741347081,6,2025-03-06,2025-03-07,17.46
0,7,0.028,0.0035,0.0133,0.1067,-0.0459,534.0,19,1754644656,1755028299,8,2025-08-08,2025-08-12,106.57
75,5,0.0141,0.0024,0.0141,0.2366,-0.069,1209.0,20,1748450419,1748516885,6,2025-05-28,2025-05-29,18.46
205,4,0.0125,0.0031,0.0125,0.2534,-0.0862,355.0,16,1740145520,1740157299,4,2025-02-21,2025-02-21,3.27
91,4,0.0098,0.0025,0.0077,0.2139,-0.0421,1254.0,15,1747670352,1747758411,4,2025-05-19,2025-05-20,24.46
215,6,0.0097,0.0012,0.0022,0.2085,0.0047,588.47,19,1739560079,1739738785,8,2025-02-14,2025-02-16,49.64
134,4,0.0083,0.0021,0.0041,0.2041,-0.0226,1055.0,6,1745274624,1745312662,4,2025-04-21,2025-04-22,10.57
6,4,0.0077,0.0019,0.0077,0.2385,-0.277,273.0,9,1754301037,1754355050,4,2025-08-04,2025-08-05,15.0
161,3,0.0057,0.0014,0.0057,0.366,-0.1156,340.0,14,1743619886,1743664685,4,2025-04-02,2025-04-03,12.44
222,5,0.0047,0.0007,0.0032,0.344,-0.0116,1507.0,18,1738964690,1739205387,7,2025-02-07,2025-02-10,66.86
