batch_id,unique_authors,total_contribution,avg_contribution,max_contribution,avg_effort,importance,total_churn,total_files,start_ts,end_ts,commit_count,start_date,end_date,duration_hours
122,4,2.3794,0.3966,1.413,0.2267,1.5498,100270.0,178,1750947172,1750948902,6,2025-06-26,2025-06-26,0.48
71,7,2.3549,0.2141,0.6883,0.1672,1.2105,20269.0,231,1752027801,1752076705,11,2025-07-09,2025-07-09,13.58
26,11,2.2799,0.114,0.4206,0.0303,1.173,9355.0,240,1753707993,1753821639,20,2025-07-28,2025-07-29,31.57
56,4,2.2779,0.2531,0.3886,0.2829,0.8183,3277.0,125,1752527596,1752550105,9,2025-07-14,2025-07-15,6.25
207,5,2.2373,0.2797,0.6683,0.2269,0.9356,4316.0,148,1749109120,1749134497,8,2025-06-05,2025-06-05,7.05
102,10,2.1583,0.127,0.333,0.0221,1.1241,3186.0,301,1751376921,1751402278,17,2025-07-01,2025-07-01,7.04
14,9,1.9422,0.1494,0.5714,0.0766,1.0001,4023.0,231,1754064279,1754111759,13,2025-08-01,2025-08-02,13.19
114,7,1.94,0.1617,0.7671,0.0729,1.2849,21109.0,236,1750995176,1751021922,12,2025-06-27,2025-06-27,7.43
98,7,1.9132,0.2392,0.6216,0.0984,1.2254,8591.0,251,1751412288,1751435614,8,2025-07-01,2025-07-02,6.48
112,5,1.8748,0.1875,0.3834,0.3302,0.5043,3872.0,79,1751038511,1751266134,10,2025-06-27,2025-06-30,63.23
44,4,1.8002,0.36,0.5213,0.3242,1.1104,4496.0,385,1752797890,1752828172,5,2025-07-18,2025-07-18,8.41
34,6,1.7745,0.2535,0.6285,0.1692,1.2718,11171.0,194,1753112759,1753127581,7,2025-07-21,2025-07-21,4.12
33,11,1.7066,0.1138,0.3293,0.0513,0.7311,4875.0,73,1753130879,1753197228,15,2025-07-21,2025-07-22,18.43
75,9,1.687,0.1534,0.7426,0.0677,1.2808,20612.0,167,1751983628,1752003527,11,2025-07-08,2025-07-08,5.53
180,6,1.668,0.1283,0.2263,0.2944,0.3677,2045.0,58,1749724886,1749769132,13,2025-06-12,2025-06-12,12.29
107,6,1.6352,0.2336,0.6717,0.1874,1.03,26800.0,149,1751324566,1751350824,7,2025-06-30,2025-07-01,7.29
70,3,1.524,0.381,0.6907,0.4341,0.8003,4502.0,110,1752078570,1752085963,4,2025-07-09,2025-07-09,2.05
51,3,1.4385,0.2877,0.4074,0.3837,0.7497,1403.0,158,1752663925,1752665600,5,2025-07-16,2025-07-16,0.47
61,3,1.4362,0.2394,0.3761,0.4243,0.5471,1139.0,107,1752185127,1752222135,6,2025-07-10,2025-07-11,10.28
206,8,1.3634,0.1363,0.3398,0.0249,1.0922,4059.0,267,1749136101,1749157340,10,2025-06-05,2025-06-05,5.9
184,8,1.2615,0.1261,0.3154,0.0622,0.8535,4277.0,103,1749627590,1749644806,10,2025-06-11,2025-06-11,4.78
215,11,1.2144,0.0639,0.2771,0.0152,0.7385,1952.0,108,1748963833,1748994291,19,2025-06-03,2025-06-03,8.46
