batch_id,unique_authors,total_contribution,avg_contribution,max_contribution,avg_effort,importance,total_churn,total_files,start_ts,end_ts,commit_count,start_date,end_date,duration_hours
158,3,0.0443,0.0148,0.0443,0.0208,0.1398,1566.0,15,1731942997,1731948851,3,2024-11-18,2024-11-18,1.63
145,2,0.0426,0.0213,0.0426,0.0853,0.1422,598.0,18,1734370327,1734370755,2,2024-12-16,2024-12-16,0.12
87,2,0.0424,0.0141,0.0424,0.0772,-0.195,169.0,25,1742565931,1742582455,3,2025-03-21,2025-03-21,4.59
76,2,0.0419,0.021,0.0419,0.0239,-0.2495,217.0,13,1743450797,1743465547,2,2025-03-31,2025-03-31,4.1
154,8,0.0409,0.0037,0.0204,-0.1638,0.5925,1001.0,59,1732298645,1733244368,11,2024-11-22,2024-12-03,262.7
5,3,0.0351,0.0088,0.0201,-0.0198,-0.2048,376.0,6,1753924737,1754063365,4,2025-07-31,2025-08-01,38.51
181,2,0.0347,0.0116,0.0347,0.0468,-0.3605,111.0,15,1728922028,1728929543,3,2024-10-14,2024-10-14,2.09
29,5,0.0346,0.0038,0.0114,-0.1392,0.0928,510.0,16,1750287655,1750516567,9,2025-06-18,2025-06-21,63.59
184,3,0.0344,0.0115,0.0344,-0.1021,-0.078,327.0,24,1728577424,1728589263,3,2024-10-10,2024-10-10,3.29
153,9,0.0342,0.0029,0.0171,-0.1772,0.5627,1636.0,28,1733252048,1733782846,12,2024-12-03,2024-12-09,147.44
6,2,0.023,0.0077,0.023,0.1535,-0.1825,463.0,4,1753883709,1753924007,3,2025-07-30,2025-07-31,11.19
1,2,0.0222,0.0111,0.0222,0.0211,0.0604,1174.0,12,1754813540,1754891426,2,2025-08-10,2025-08-11,21.64
9,2,0.0207,0.0103,0.0207,0.0419,-0.3468,178.0,6,1753411111,1753433986,2,2025-07-25,2025-07-25,6.35
44,3,0.0193,0.0064,0.0103,-0.0749,-0.0858,208.0,16,1748879025,1748923228,3,2025-06-02,2025-06-03,12.28
143,2,0.0133,0.0066,0.0133,0.0892,0.0426,678.0,22,1734374359,1734378201,2,2024-12-16,2024-12-16,1.07
82,4,0.0085,0.0011,0.0026,-0.1196,-0.0089,266.0,19,1742910348,1743004865,8,2025-03-25,2025-03-26,26.25
177,2,0.0065,0.0013,0.0065,0.1556,-0.082,220.0,15,1729274970,1729278134,5,2024-10-18,2024-10-18,0.88
175,2,0.0056,0.0008,0.0056,0.1594,-0.0897,235.0,30,1729391608,1729552661,7,2024-10-20,2024-10-21,44.74
14,2,0.0049,0.0016,0.0049,0.1651,-0.068,517.0,15,1753090066,1753118530,3,2025-07-21,2025-07-21,7.91
118,4,0.0049,0.0012,0.0049,-0.1803,0.0312,300.0,21,1737144996,1737489602,4,2025-01-17,2025-01-21,95.72
77,5,0.0044,0.0005,0.0015,-0.2086,0.0819,202.0,23,1743186918,1743448391,9,2025-03-28,2025-03-31,72.63
125,3,0.0039,0.0013,0.0039,-0.071,0.0186,468.0,9,1736779553,1736793740,3,2025-01-13,2025-01-13,3.94
49,1,0.0031,0.0031,0.0031,0.5364,0.0058,877.0,12,1747944889,1747944889,1,2025-05-22,2025-05-22,0.0
73,3,0.0031,0.0006,0.0018,0.0281,-0.0084,335.0,14,1743624343,1743737594,5,2025-04-02,2025-04-04,31.46
20,2,0.0025,0.0008,0.0025,0.1628,-0.0197,533.0,20,1751911071,1751947200,3,2025-07-07,2025-07-08,10.04
107,5,0.0015,0.0002,0.0015,-0.175,0.0183,397.0,31,1738883151,1738964066,7,2025-02-06,2025-02-07,22.48
84,4,0.0013,0.0002,0.0013,-0.0926,0.0364,627.0,23,1742839467,1742855073,6,2025-03-24,2025-03-24,4.34
180,7,0.0013,0.0002,0.0013,-0.2382,0.0369,601.0,24,1728992765,1729102741,8,2024-10-15,2024-10-16,30.55
45,3,0.0007,0.0002,0.0007,-0.0966,0.0033,526.0,23,1748531830,1748647876,3,2025-05-29,2025-05-30,32.24
173,6,0.0004,0.0001,0.0004,-0.2047,0.0325,736.0,19,1729700002,1730121001,6,2024-10-23,2024-10-28,116.94
58,1,0.0,0.0,0.0,0.4917,-0.1072,481.0,12,1746123910,1746123910,1,2025-05-01,2025-05-01,0.0
18,1,0.0,0.0,0.0,0.1767,-1.0358,6.0,1,1752025653,1752025653,1,2025-07-09,2025-07-09,0.0
17,1,0.0,0.0,0.0,0.3378,-0.5808,60.0,3,1752066415,1752066415,1,2025-07-09,2025-07-09,0.0
25,1,0.0,0.0,0.0,0.3522,-0.5601,73.0,1,1750718272,1750718272,1,2025-06-23,2025-06-23,0.0
27,1,0.0,0.0,0.0,0.4028,-0.403,145.0,4,1750629608,1750629608,1,2025-06-22,2025-06-22,0.0
11,1,0.0,0.0,0.0,0.1136,-1.2217,2.0,1,1753393326,1753393326,1,2025-07-24,2025-07-24,0.0
50,1,0.0,0.0,0.0,0.3936,-0.4013,128.0,7,1747944845,1747944845,1,2025-05-22,2025-05-22,0.0
46,1,0.0,0.0,0.0,0.32,-0.6278,47.0,3,1748454372,1748454372,1,2025-05-28,2025-05-28,0.0
34,1,0.0,0.0,0.0,0.4963,-0.0954,512.0,12,1749255403,1749255403,1,2025-06-07,2025-06-07,0.0
39,1,0.0,0.0,0.0,0.3448,-0.5454,66.0,5,1748986126,1748986126,1,2025-06-03,2025-06-03,0.0
38,1,0.0,0.0,0.0,0.4087,-0.3708,157.0,6,1748986181,1748986181,1,2025-06-03,2025-06-03,0.0
41,1,0.0,0.0,0.0,0.3491,-0.5596,70.0,2,1748979072,1748979072,1,2025-06-03,2025-06-03,0.0
40,1,0.0,0.0,0.0,0.4216,-0.3374,187.0,6,1748981546,1748981546,1,2025-06-03,2025-06-03,0.0
28,1,0.0,0.0,0.0,0.4651,-0.2091,336.0,8,1750603233,1750629091,3,2025-06-22,2025-06-22,7.18
35,1,0.0,0.0,0.0,0.1767,-1.0188,6.0,3,1749255093,1749255093,1,2025-06-07,2025-06-07,0.0
2,1,0.0,0.0,0.0,0.3876,-0.4679,118.0,1,1754751742,1754751742,1,2025-08-09,2025-08-09,0.0
8,1,0.0,0.0,0.0,0.2714,-0.7573,24.0,3,1753439550,1753439550,1,2025-07-25,2025-07-25,0.0
65,1,0.0,0.0,0.0,0.2032,-0.961,9.0,1,1745262651,1745262651,1,2025-04-21,2025-04-21,0.0
79,1,0.0,0.0,0.0,0.285,-0.6953,29.0,6,1743025192,1743025192,1,2025-03-26,2025-03-26,0.0
80,1,0.0,0.0,0.0,0.3651,-0.3403,87.0,7,1743015725,1743015773,3,2025-03-26,2025-03-26,0.01
89,1,0.0,0.0,0.0,0.3083,-0.6759,40.0,1,1742413308,1742413308,1,2025-03-19,2025-03-19,0.0
110,1,0.0,0.0,0.0,0.536,-0.0036,873.0,11,1738701030,1738701030,1,2025-02-04,2025-02-04,0.0
113,1,0.0,0.0,0.0,0.285,-0.7294,29.0,2,1738306785,1738306785,1,2025-01-31,2025-01-31,0.0
100,1,0.0,0.0,0.0,0.3684,-0.5177,91.0,1,1740679672,1740679672,1,2025-02-27,2025-02-27,0.0
92,1,0.0,0.0,0.0,0.3101,-0.6712,41.0,1,1742235182,1742235182,1,2025-03-17,2025-03-17,0.0
103,1,0.0,0.0,0.0,0.2898,-0.6569,31.0,9,1739892580,1739892580,1,2025-02-18,2025-02-18,0.0
101,1,0.0,0.0,0.0,0.2986,-0.6676,35.0,5,1740528561,1740673470,2,2025-02-26,2025-02-27,40.25
106,1,0.0,0.0,0.0,0.32,-0.6448,47.0,1,1738964377,1738964377,1,2025-02-07,2025-02-07,0.0
61,1,0.0,0.0,0.0,0.4466,-0.2392,262.0,10,1745458042,1745458042,1,2025-04-24,2025-04-24,0.0
69,1,0.0,0.0,0.0,0.3708,-0.486,94.0,4,1744751842,1744753422,2,2025-04-15,2025-04-15,0.44
68,1,0.0,0.0,0.0,0.2228,-0.8643,12.0,6,1744838829,1744839564,2,2025-04-16,2025-04-16,0.2
71,1,0.0,0.0,0.0,0.1516,-1.108,4.0,1,1744035214,1744035214,1,2025-04-07,2025-04-07,0.0
66,1,0.0,0.0,0.0,0.1516,-1.0994,4.0,2,1745261811,1745261811,1,2025-04-21,2025-04-21,0.0
62,1,0.0,0.0,0.0,0.4115,-0.3636,163.0,6,1745457704,1745457704,1,2025-04-24,2025-04-24,0.0
136,1,0.0,0.0,0.0,0.2799,-0.7516,27.0,1,1734570549,1734570549,1,2024-12-19,2024-12-19,0.0
126,1,0.0,0.0,0.0,0.475,-0.0816,384.0,20,1736527897,1736705814,2,2025-01-10,2025-01-12,49.42
139,1,0.0,0.0,0.0,0.1136,-1.2217,2.0,1,1734407475,1734407475,1,2024-12-17,2024-12-17,0.0
152,1,0.0,0.0,0.0,0.3561,-0.5328,77.0,3,1733791663,1733791663,1,2024-12-10,2024-12-10,0.0
149,1,0.0,0.0,0.0,0.4105,-0.3319,161.0,10,1734062767,1734062767,1,2024-12-13,2024-12-13,0.0
