author_login,commit_count_raw,active_days,avg_additions,avg_deletions,avg_total_changes,max_total_changes,avg_msg_len,weekend_commit_ratio,total_prs,merged_prs,pr_acceptance_rate,commit_count
sameerajashyam,1,1,2.0,2.0,4.0,4,507.0,0.0,6,1,0.17,1
sandeepyadav1478,1,1,102.0,57.0,159.0,159,297.0,0.0,1,1,1.0,1
sbucaille,6,5,54.0,38.666666666666664,92.66666666666667,186,267.0,0.0,16,11,0.69,6
sebastianvlad1,1,1,6.0,1.0,7.0,7,294.0,0.0,1,1,1.0,1
seven-mile,1,1,12.0,10.0,22.0,22,179.0,0.0,2,2,1.0,1
shuminghu,1,1,3262.0,1.0,3263.0,3263,2722.0,0.0,1,1,1.0,1
simonreise,1,1,722.0,51.0,773.0,773,670.0,0.0,4,4,1.0,1
st81,1,1,6.0,4.0,10.0,10,200.0,0.0,3,2,0.67,1
stevhliu,5,3,103.6,99.0,202.6,421,97.2,0.0,145,131,0.9,5
thisisiron,1,1,3.0,0.0,3.0,3,259.0,0.0,8,4,0.5,1
tomaarsen,1,1,1.0,1.0,2.0,2,39.0,0.0,30,27,0.9,1
tugsbayasgalan,1,1,97.0,1.0,98.0,98,133.0,0.0,8,4,0.5,1
tvukovic-amd,1,1,1.0,1.0,2.0,2,190.0,0.0,1,1,1.0,1
umarbutler,1,1,2.0,2.0,4.0,4,253.0,0.0,3,3,1.0,1
vasqu,5,4,10.0,2.4,12.4,46,104.2,0.0,41,32,0.78,5
ved1beta,1,1,1.0,1.0,2.0,2,76.0,0.0,5,2,0.4,1
winglian,3,3,5.0,1.0,6.0,8,96.33333333333333,0.0,45,27,0.6,3
wjdghks950,1,1,1.0,1.0,2.0,2,274.0,0.0,1,1,1.0,1
xadupre,1,1,12.0,1.0,13.0,13,124.0,0.0,6,3,0.5,1
xenova,1,1,1.0,1.0,2.0,2,47.0,0.0,16,13,0.81,1
yao-matrix,4,3,48.5,25.25,73.75,172,519.0,0.0,53,51,0.96,4
yaswanth19,5,3,1608.2,39.4,1647.6,4924,818.8,0.0,18,13,0.72,5
ybkurt,1,1,2.0,2.0,4.0,4,39.0,0.0,1,1,1.0,1
ydshieh,32,14,64.96875,20.71875,85.6875,613,153.4375,0.03125,1020,916,0.9,32
yonigozlan,2,2,41.5,3.5,45.0,86,81.5,0.5,88,74,0.84,2
yuanwu2017,1,1,22.0,0.0,22.0,22,741.0,0.0,10,8,0.8,1
yushi2006,1,1,26.0,10.0,36.0,36,200.0,0.0,6,4,0.67,1
zRzRzRzRzRzRzR,3,3,2338.3333333333335,30.333333333333332,2368.6666666666665,6849,819.6666666666666,0.0,8,4,0.5,3
zhaiji0727,1,1,6.0,2.0,8.0,8,272.0,0.0,1,1,1.0,1
zrohyun,1,1,20.0,20.0,40.0,40,901.0,0.0,1,1,1.0,1
zucchini-nlp,20,11,535.8,778.7,1314.5,12554,318.15,0.0,298,253,0.85,20
